SEGMENTO;TARIFARIO;DETALLE;SEMI;BALANCIN;CHASIS;UP 3500;UP 1500;PICKUP
OP RESTO;TRANSPORTE ANAN;1601/1700 KMS;$ 90.621;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;1701/1800 KMS;$ 93.469;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;1801/1900 KMS;$ 98.899;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;1901/2000 KMS;$ 106.342;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;DIRECTO - BSAS A TUCUMAN;$ 72.749;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;RANGO KM;ene-50;$ 11.327;$ 0;$ 8.079;$ 0;$ 0;$ 6.401
OP RESTO;RANGO KM;51-100;$ 15.071;$ 0;$ 10.550;$ 0;$ 0;$ 8.440
OP RESTO;RANGO KM;101-150;$ 19.457;$ 0;$ 13.620;$ 0;$ 0;$ 10.896
OP RESTO;RANGO KM;151-200;$ 26.708;$ 0;$ 18.696;$ 0;$ 0;$ 14.957
OP RESTO;RANGO KM;201-250;$ 32.094;$ 0;$ 22.466;$ 0;$ 0;$ 17.973
OP RESTO;RANGO KM;251-300;$ 36.740;$ 0;$ 25.718;$ 0;$ 0;$ 20.575
OP RESTO;RANGO KM;301-350;$ 40.184;$ 0;$ 28.129;$ 0;$ 0;$ 22.502
OP RESTO;RANGO KM;351-400;$ 44.658;$ 0;$ 31.260;$ 0;$ 0;$ 25.008
OP RESTO;RANGO KM;401-450;$ 49.115;$ 0;$ 34.381;$ 0;$ 0;$ 27.505
OP RESTO;RANGO KM;451-500;$ 53.116;$ 0;$ 37.365;$ 0;$ 0;$ 29.892
OP RESTO;RANGO KM;501-550;$ 57.509;$ 0;$ 41.002;$ 0;$ 0;$ 32.802
OP RESTO;RANGO KM;551-600;$ 62.014;$ 0;$ 44.770;$ 0;$ 0;$ 35.815
OP RESTO;RANGO KM;601-650;$ 66.468;$ 0;$ 48.500;$ 0;$ 0;$ 38.800
OP RESTO;RANGO KM;651-700;$ 70.590;$ 0;$ 51.963;$ 0;$ 0;$ 41.571
OP RESTO;RANGO KM;701-750;$ 75.335;$ 0;$ 55.858;$ 0;$ 0;$ 44.687
OP RESTO;RANGO KM;751-800;$ 79.916;$ 0;$ 59.646;$ 0;$ 0;$ 47.717
OP RESTO;RANGO KM;801-850;$ 84.708;$ 0;$ 63.649;$ 0;$ 0;$ 50.919
OP RESTO;RANGO KM;851-900;$ 89.376;$ 0;$ 67.544;$ 0;$ 0;$ 54.035
OP RESTO;RANGO KM;901-950;$ 94.140;$ 0;$ 71.439;$ 0;$ 0;$ 57.151
OP RESTO;RANGO KM;951-1000;$ 98.856;$ 0;$ 75.335;$ 0;$ 0;$ 60.268
OP RESTO;RANGO KM;1001-1050;$ 103.424;$ 0;$ 79.159;$ 0;$ 0;$ 63.327
OP RESTO;RANGO KM;1051-1100;$ 108.127;$ 0;$ 83.047;$ 0;$ 0;$ 66.438
OP RESTO;RANGO KM;1101-1150;$ 112.831;$ 0;$ 86.936;$ 0;$ 0;$ 69.548
OP RESTO;RANGO KM;1151-1200;$ 117.534;$ 0;$ 90.824;$ 0;$ 0;$ 72.659
OP RESTO;RANGO KM;1201-1250;$ 122.237;$ 0;$ 94.712;$ 0;$ 0;$ 75.770
OP RESTO;RANGO KM;1251-1300;$ 126.940;$ 0;$ 98.601;$ 0;$ 0;$ 78.880
OP RESTO;RANGO KM;1301-1350;$ 131.531;$ 0;$ 102.402;$ 0;$ 0;$ 81.921
OP RESTO;RANGO KM;1351-1400;$ 136.230;$ 0;$ 106.287;$ 0;$ 0;$ 85.029
OP RESTO;RANGO KM;1401-1450;$ 140.929;$ 0;$ 110.172;$ 0;$ 0;$ 88.137
OP RESTO;RANGO KM;1451-1500;$ 145.628;$ 0;$ 114.057;$ 0;$ 0;$ 91.245
OP RESTO;RANGO KM;1501-1550;$ 150.222;$ 0;$ 117.894;$ 0;$ 0;$ 94.315
OP RESTO;RANGO KM;1551-1600;$ 154.895;$ 0;$ 121.758;$ 0;$ 0;$ 97.406
OP RESTO;RANGO KM;1601-1650;$ 159.567;$ 0;$ 125.621;$ 0;$ 0;$ 100.496
OP RESTO;RANGO KM;1651-1700;$ 164.240;$ 0;$ 129.484;$ 0;$ 0;$ 103.587
OP RESTO;RANGO KM;1701-1750;$ 168.912;$ 0;$ 133.347;$ 0;$ 0;$ 106.677
OP RESTO;RANGO KM;1751-1800;$ 173.585;$ 0;$ 137.210;$ 0;$ 0;$ 109.768
OP RESTO;RANGO KM;1801-1850;$ 178.257;$ 0;$ 141.073;$ 0;$ 0;$ 112.859
OP RESTO;RANGO KM;1851-1900;$ 182.930;$ 0;$ 144.937;$ 0;$ 0;$ 115.949
OP RESTO;RANGO KM;1901-1950;$ 187.602;$ 0;$ 148.800;$ 0;$ 0;$ 119.039
OP RESTO;RANGO KM;1951-2000;$ 192.275;$ 0;$ 152.663;$ 0;$ 0;$ 122.130
OP RESTO;RANGO KM;2001-2050;$ 197.032;$ 0;$ 156.536;$ 0;$ 0;$ 125.229
OP RESTO;RANGO KM;2051-2100;$ 201.897;$ 0;$ 160.401;$ 0;$ 0;$ 128.321
OP RESTO;RANGO KM;2101-2150;$ 206.762;$ 0;$ 164.266;$ 0;$ 0;$ 131.413
OP RESTO;RANGO KM;2151-2200;$ 211.627;$ 0;$ 168.131;$ 0;$ 0;$ 134.505
OP RESTO;RANGO KM;2201-2250;$ 216.492;$ 0;$ 171.996;$ 0;$ 0;$ 137.597
OP RESTO;RANGO KM;2251-2300;$ 221.357;$ 0;$ 175.862;$ 0;$ 0;$ 140.689
OP RESTO;RANGO KM;2301-2350;$ 226.222;$ 0;$ 179.727;$ 0;$ 0;$ 143.781
OP RESTO;RANGO KM;2351-2400;$ 231.087;$ 0;$ 183.592;$ 0;$ 0;$ 146.873
OP RESTO;RANGO KM;2401-2450;$ 235.952;$ 0;$ 187.457;$ 0;$ 0;$ 149.965
OP RESTO;RANGO KM;2451-2500;$ 240.817;$ 0;$ 191.322;$ 0;$ 0;$ 153.058
OP RESTO;RANGO KM;2501-2550;$ 245.682;$ 0;$ 195.187;$ 0;$ 0;$ 156.150
OP RESTO;RANGO KM;2551-2600;$ 250.547;$ 0;$ 199.052;$ 0;$ 0;$ 159.242
OP RESTO;RANGO KM;2601-2650;$ 255.412;$ 0;$ 202.917;$ 0;$ 0;$ 162.334
OP RESTO;RANGO KM;2651-2700;$ 260.277;$ 0;$ 206.782;$ 0;$ 0;$ 165.426
OP RESTO;RANGO KM;2701-2750;$ 265.142;$ 0;$ 210.648;$ 0;$ 0;$ 168.518
OP RESTO;RANGO KM;2751-2800;$ 270.007;$ 0;$ 214.513;$ 0;$ 0;$ 171.610
OP RESTO;RANGO KM;2801-2850;$ 274.872;$ 0;$ 218.378;$ 0;$ 0;$ 174.702
OP RESTO;RANGO KM;2851-2900;$ 279.737;$ 0;$ 222.243;$ 0;$ 0;$ 177.794
OP RESTO;RANGO KM;2901-2950;$ 284.602;$ 0;$ 226.108;$ 0;$ 0;$ 180.886
OP RESTO;RANGO KM;2951-3000;$ 289.467;$ 0;$ 229.973;$ 0;$ 0;$ 183.978
OP RESTO;ZONA;ZONA NORTE;$ 11.006;$ 10.669;$ 9.361;$ 6.788;$ 5.220;$ 0
OP RESTO;ZONA;ZONA CAPITAL;$ 12.932;$ 11.639;$ 10.356;$ 7.696;$ 6.143;$ 0
OP RESTO;ZONA;ZONA SUR;$ 15.443;$ 14.155;$ 12.582;$ 9.210;$ 7.343;$ 0
OP RESTO;ZONA;Desvio por destino;$ 950;$ 800;$ 713;$ 671;$ 455;$ 0
OP RESTO;INTERPLANTA ESPECIAL;ZARATE ZARATE;$ 4.159;$ 0;$ 1.741;$ 1.653;$ 1.460;$ 0
OP RESTO;INTERPLANTA ESPECIAL;ZARATE  CAMP;$ 4.159;$ 0;$ 2.169;$ 2.229;$ 1.787;$ 0
OP RESTO;INTERPLANTA ESPECIAL;PILAR - PILAR;$ 4.159;$ 0;$ 1.741;$ 1.653;$ 1.460;$ 0
OP RESTO;RANGO KM;0/50 KMS;$ 6.610;$ 5.026;$ 4.465;$ 4.315;$ 4.073;$ 0
OP RESTO;RANGO KM;50/100 KMS;$ 11.389;$ 9.958;$ 8.847;$ 6.272;$ 5.440;$ 0
OP RESTO;RANGO KM;101/150 KMS;$ 13.857;$ 12.111;$ 10.760;$ 7.518;$ 6.505;$ 0
OP RESTO;RANGO KM;151/200 KMS;$ 16.702;$ 14.604;$ 13.433;$ 11.844;$ 9.047;$ 0
OP RESTO;RANGO KM;201/250 KMS;$ 17.673;$ 16.165;$ 14.592;$ 12.870;$ 11.138;$ 0
OP RESTO;RANGO KM;251/300 KMS;$ 20.518;$ 19.170;$ 16.297;$ 14.365;$ 11.705;$ 0
OP RESTO;RANGO KM;301/350 KMS;$ 26.349;$ 21.683;$ 18.134;$ 15.987;$ 14.661;$ 0
OP RESTO;RANGO KM;351/400 KMS;$ 30.155;$ 24.813;$ 20.489;$ 18.069;$ 15.099;$ 0
OP RESTO;RANGO KM;401/500 KMS;$ 36.278;$ 29.103;$ 24.342;$ 21.460;$ 19.677;$ 0
OP RESTO;RANGO KM;501/600 KMS;$ 40.028;$ 34.996;$ 29.267;$ 25.805;$ 22.347;$ 0
OP RESTO;RANGO KM;601/700 KMS;$ 43.095;$ 37.681;$ 31.214;$ 27.786;$ 24.896;$ 0
OP RESTO;RANGO KM;701/800 KMS;$ 46.476;$ 42.064;$ 36.058;$ 31.796;$ 28.176;$ 0
OP RESTO;RANGO KM;801/900 KMS;$ 53.662;$ 46.916;$ 39.241;$ 34.602;$ 31.003;$ 0
OP RESTO;RANGO KM;901/1000 KMS;$ 57.402;$ 51.370;$ 41.887;$ 36.942;$ 33.489;$ 0
OP RESTO;RANGO KM;1001/1100 KMS;$ 60.165;$ 53.836;$ 43.898;$ 38.715;$ 35.088;$ 0
OP RESTO;RANGO KM;1101/1200 KMS;$ 68.341;$ 58.796;$ 47.942;$ 42.279;$ 37.882;$ 0
OP RESTO;RANGO KM;1201/1300 KMS;$ 68.915;$ 60.255;$ 51.651;$ 45.556;$ 40.361;$ 0
OP RESTO;RANGO KM;1301/1400 KMS;$ 70.789;$ 64.076;$ 54.929;$ 48.437;$ 42.924;$ 0
OP RESTO;RANGO KM;1401/1500 KMS;$ 77.988;$ 68.183;$ 57.736;$ 50.912;$ 44.588;$ 0
OP RESTO;RANGO KM;1501/1600 KMS;$ 81.356;$ 71.133;$ 60.233;$ 53.117;$ 47.067;$ 0
OP RESTO;RANGO KM;1601/1700 KMS;$ 84.484;$ 75.603;$ 62.438;$ 55.062;$ 48.783;$ 0
OP RESTO;RANGO KM;1701/1800 KMS;$ 90.770;$ 79.361;$ 64.714;$ 57.069;$ 51.145;$ 0
OP RESTO;RANGO KM;1801/1900 KMS;$ 94.469;$ 84.533;$ 68.052;$ 60.013;$ 53.783;$ 0
OP RESTO;RANGO KM;1901/2000 KMS;$ 103.272;$ 89.228;$ 70.900;$ 62.519;$ 56.039;$ 0
OP RESTO;RANGO KM;2001/2100 KMS;$ 0;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;RANGO KM;Desvio por destino;$ 950;$ 800;$ 713;$ 671;$ 455;$ 0
OP RESTO;RANGO KM;ESTADIA (p/descargar);$ 5.584;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;RANGO KM;DEMORA (+ de 8 hs de espera p/ cargar);$ 5.584;$ 0;$ 4.198;$ 0;$ 0;$ 0
OP RESTO;CHOFER DE ZARCAM;CHOFER DE ZARCAM;$ 2.833;$ 2.833;$ 2.833;$ 2.833;$ 2.833;$ 0
OP RESTO;CLIENTE MONSANTO INTERPLANTA;DIRECTO - Viaje Semi Zte - Zte;$ 4.159;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE MONSANTO INTERPLANTA;DIRECTO - Viaje Semi Zte - Pilar;$ 6.610;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE MONSANTO INTERPLANTA;Camion x dia 12 HORAS;$ 9.844;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE MONSANTO INTERPLANTA;Camion x dia > 12 HORAS (adicional);$ 1.044;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE MONSANTO INTERPLANTA;Camion x dia 12 HORAS sabados;$ 11.094;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE MONSANTO INTERPLANTA;Camion x dia 12 HORAS domingo/Feriado;$ 16.036;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE EXAL;Pilar a Moreno - Loma Hermosa;$ 6.069;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE EXAL;Pilar a Garín (Gilette);$ 6.069;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE EXAL;Pilar a Tortuguitas 1er y 2do viaje en el día;$ 6.069;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE EXAL;Pilar a Pilar;$ 3.488;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE EXAL;Pilar a Mercedes (0/50km);$ 5.748;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE EXAL;ESTADIA;$ 5.584;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE AMPACET;Camion x dia 12 Hs Zte a Tortu - (1 VIAJE);$ 9.875;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE AMPACET;Camion x dia 12 Hs Zte a Tortu - (2 VIAJE);$ 17.013;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE AMPACET;Camion x dia 12 Hs Zte a Tortu - (3 VIAJE);$ 22.346;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE AMPACET;Camion x dia 12 horas (Pilar - Tortuguitas);$ 15.696;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE AMPACET;Camion x dia 12 horas (Pilar - Pilar);$ 15.697;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE AMPACET;DIRECTO - Zarate - Tortuguitas (zona norte);$ 11.004;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE AMPACET;DIRECTO - Campana - Tortuguitas (zona norte);$ 11.004;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE AMPACET;DIRECTO - Zarate - Pilar (zona norte);$ 11.004;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE AMPACET;DIRECTO - Tortuguitas - Avellaneda (Zona norte);$ 11.004;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE AMPACET;DIRECTO - Pilar - San Martin (zona norte);$ 11.004;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE AMPACET;DIRECTO - Gral Pacheco - Pilar (por Km 0/50);$ 6.120;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE AMPACET;DIRECTO - Gral Pacheco - Tortuguitas (por Km 0/50);$ 6.120;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE AMPACET;DIRECTO - Pilar -Tortuguitas (por Km 0/50);$ 6.120;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE AMPACET;DIRECTO - Tortuguitas - Tortuguitas (por Km 0/50);$ 6.120;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE AMPACET;DIRECTO - Zarate - Campana (interp. Especial);$ 4.158;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE AMPACET;DIRECTO - Zarate - Zarate (interp. Especial);$ 4.158;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CONTENEDORES;Zte a Alsina c/retorno;$ 11.009;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CONTENEDORES;Zte a Cardales c/retorno;$ 8.049;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CONTENEDORES;Zte a Lima c/retorno;$ 7.817;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CONTENEDORES;Zte a Las Palmas c/retorno;$ 7.817;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CONTENEDORES;Zte a Lujan c/ retorno;$ 13.038;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CONTENEDORES;Zte a Matheu;$ 11.139;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CONTENEDORES;Zte.  Perez Millan C/retorno;$ 19.830;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CONTENEDORES;Zte a Pilar c/retorno;$ 11.139;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CONTENEDORES;Zte a Rojas c/ retorno (01/07);$ 27.581;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CONTENEDORES;Zte a Pergamino c/ retorno;$ 26.008;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CONTENEDORES;Zarate a San Andres de Giles c/retorno;$ 12.154;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CONTENEDORES;Zte a S. Pedro c/ Retorno;$ 13.480;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CONTENEDORES;Zte a Tortuguitas c/retorno;$ 11.139;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CONTENEDORES;Zte a Zte c/retorno (*);$ 6.365;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CONTENEDORES;Zte a Venado Tuerto (con retorno) TRANSALTIC SA;$ 38.307;$ 0;$ 0;$ 0;$ 0;$ 0
